,id,transcription,gloss,translation,start,end,comment,author,binom,notbinom,*binom,*notbinom,com_type,companion,ins-participant
0,TTI_20230703@TK_1,sas̆a ətri tanʲa ne-re-keɬi-ŋe-n keɬikeɬ,саша и таня low.a-fut-писать-fut-3sg.o книга,Саша и Таня напишут книжку.,00:01:20.930,00:01:27.590,#бином Я предложила sas̆a-na ətri tanʲa-na. TTI согласилась.,TTI,True,,,,ətri,таня,
1,TTI_20230703@TK_2,ne-re-keɬi-ŋe-n keɬikeɬ sas̆a ətri tanʲa,low.a-fut-писать-fut-3sg.o книга саша и таня,Напишут книжку Саша и Таня.,00:01:49.060,00:01:54.210,"#бином Я предложила sas̆a-na ətri tanʲa-na. TTI согласилась. ""Нет разницы""",TTI,True,,,,ətri,,
2,TTI_20230703@TK_3,sas̆a ətri tanʲa ərɣə-nan ne-re-keɬi-ŋe-n keɬikeɬ,саша и таня они-ins low.a-fut-писать-fut-3sg.o книга,Саша и Таня напишут книжку.,00:02:20.980,00:02:27.100,#бином #восстановление Я (породив): хорошо? Она: даже очень.,TTI,True,,,,ətri,таня,они
3,TTI_20230703@TK_4,mikə-ne ∅-re-keɬi-ɣ-ni-n keɬikeɬ? (sas̆a ətri tanʲa) /sas̆a-na ətri tanʲa-na ne-re-keɬi-ŋe-n keɬikeɬ,кто-an.ins 2/3.s/a-fut-писать-fut-3sg.a.3sg.o-3sg.o книга саша и таня саша-ins и таня-ins low.a-fut-писать-fut-3sg.o книга,Кто напишет книжку? Саша и Таня напишут книжку.,00:03:18.970,00:03:39.400,"Сказала целиком с биномом, потом ""А!"" и исправила на #небином. Сказала, что лучше небином.",TTI,,True,,,ətri,таня,кто
4,TTI_20230703@TK_5,əɬɣu ɬəŋ-jo-tte kenti-t,любимый считать-ptcp.pass-pl конфета-pl,Любимые конфеты,00:04:56.630,00:05:02.130,,TTI,,,,,əɬɣu ɬəŋ-jo-tte kenti-t,,
5,TTI_20230703@TK_6,ətɬʔa-ta ∅-kur-ni-ne-t (sinit-kine-t)) əɬɣu ɬəŋ-jo-tte kenti-t,мать-ins 2/3.s/a-покупать-3sg.a.3sg.o-3sg.o-pl сам-rel-pl любимый считать-ptcp.pass-pl конфета-pl,Мама купила любимые конфеты.,00:05:57.980,00:06:06.030,,TTI,,,,,ətɬʔa-ta ∅-kur-ni-ne-t (sinit-kine-t)) əɬɣu ɬəŋ-jo-tte kenti-t,,мать
6,TTI_20230703@TK_7,ətɬʔa (*/ətɬʔa-ta) ɣe-ŋe-ekke-te ne-rkur-ne-t (sinit) əɬɣu ɬəŋ-jo-tte kenti-t,мать (*/мать-ins) com-fem-сын-ins low.a-покупать-3sg.o-pl сам любимый считать-ptcp.pass-pl конфета-pl,Мама с дочкой купили (свои?) любимые конфеты.,00:06:35.625,00:06:44.915,С sinit тут глюк. #бином #запретнанебином,TTI,True,,,True,ətɬʔa (*/ətɬʔa-ta) ɣe-ŋe-ekke-te ne-rkur-ne-t (sinit) əɬɣu ɬəŋ-jo-tte kenti-t,fem-сын,(*/мать
7,TTI_20230703@TK_8,kenti-t ne-rkur-ne-t ətɬʔa (*/ətɬʔa-ta) ɣe-ŋe-ekke-te,конфета-pl low.a-покупать-3sg.o-pl мать мать-ins com-fem-сын-ins,Конфеты купили мама с дочкой.,00:07:46.020,00:07:54.050,#биномвконце #запретнанебином,TTI,True,,,True,kenti-t ne-rkur-ne-t ətɬʔa (*/ətɬʔa-ta) ɣe-ŋe-ekke-te,fem-сын,мать
8,TTI_20230703@TK_9,ətɬʔa (*/ətɬʔa-ta) ənkʔam (*/ətri) ŋe-ekek ne-rkur-ne-t kenti-t,мама (*/мама-ins) и (*/и) fem-сын low.a-покупать-3sg.o-pl конфета-pl,Мама с дочкой купили любимые конфеты.,00:08:38.580,00:08:48.710,ətri в этом контексте не узнала (?) #бином #запретнанебином,TTI,True,,,True,ətri,(*/и),(*/мама
9,TTI_20230703@TK_10,qlawəɬ-a ɬʔu-ni-n sinit-kin keɬi-nə-ɣjiw-etə-ɬʔə-n,мужчина-ins видеть-3sg.a.3sg.o-3sg.o сам-rel писать-tr-знак-vb-attr-nom.sg,Парень встретил свою учительницу.,00:24:17.561,00:24:35.220,,TTI,,,,,qlawəɬ-a ɬʔu-ni-n sinit-kin keɬi-nə-ɣjiw-etə-ɬʔə-n,писать-tr-знак-vb,мужчина
10,TTI_20230703@TK_11,qlawəɬ ɣa-təŋesʔə-ma ɬʔu-ni-n (sinit-kin) keɬi-nə-ɣjiw-etə-ɬʔə-n,мужчина com-цветок-sim видеть-3sg.a.3sg.o-3sg.o (сам-rel) писать-tr-знак-vb-attr-nom.sg,Парень с цветами встретил (свою) учительницу.,00:25:07.871,00:25:23.320,"Я предложила qlawəɬ-a. Она сказала, что можно, не повторила, сказала, что нет разницы.",TTI,,,,,qlawəɬ ɣa-təŋesʔə-ma ɬʔu-ni-n (sinit-kin) keɬi-nə-ɣjiw-etə-ɬʔə-n,цветок,
11,TTI_20230703@TK_12,t-ra-kəkwa-jɣ-at-ɣʔ-a,1sg.s/a-fut-cухой-distr.o-vb-th,Высохнет,00:27:07.096,00:27:11.146,,TTI,,,,,t-ra-kəkwa-jɣ-at-ɣʔ-a,,
12,TTI_20230703@TK_13,keɬi-nə-ɣjiw-etə-ɬʔə-n ɬʔu-ni-n alʲos̆a (/alʲos̆a-na) ɣa-təŋesʔə-ma,писать-tr-знак-vb-attr-nom.sg видеть-3sg.a.3sg.o-3sg.o лёша (/лёша-ins) com-цветок-sim,Учительницу встретил Лёша с цветами.,00:29:22.991,00:29:30.371,"#бином ""и так, и так можно""",TTI,True,,,,keɬi-nə-ɣjiw-etə-ɬʔə-n ɬʔu-ni-n alʲos̆a (/alʲos̆a-na) ɣa-təŋesʔə-ma,цветок,(/лёша
13,TTI_20230703@TK_14,mren-e (/mre-nti) ɣa-panrapɬak-ma ne-jɣutku-[j]ɣəm,комар-ins (/комар-nom.pl) com-мошка-sim low.a-кусать-1sg.o,Комары и мошка меня покусали.,00:31:57.530,00:32:02.700,#небином #бином Оба варианта сама породила через два предложения. Я переспросила. Она подтвердила оба варианта. j скорее всего из np.1sg,TTI,True,True,,,mren-e (/mre-nti) ɣa-panrapɬak-ma ne-jɣutku-[j]ɣəm,мошка,комар
14,TTI_20230703@TK_15,ne-jɣutku-[j]ɣəm mren-e ɣa-panrapɬak-ma,low.a-кусать-1sg.o комар-ins com-мошка-sim,Меня покусали комары и мошка.,00:32:31.185,00:32:36.030,"Я: можно mre-nti. Она: можно и так, и так, смысл один. Но не повторила.",TTI,,,,,ne-jɣutku-[j]ɣəm mren-e ɣa-panrapɬak-ma,мошка,комар
15,TTI_20230703@TK_16,termesə-qlaweɬ ɣe-tumɣə-me ɣa-n-sarejpa-u-ɬina-t məsəkwə-t,грубый-мужчина com-друг-sim pf-tr-пачкать-cs-pf.3sg-pl рубашка-pl,Хулиган с другом испачкали рубашки.,00:35:07.590,00:35:20.008,"Что-то с ɣe-tumɣ-e случилось. C ins вроде разрешила, c sinitkinet вроде разрешила оба варианта. Но не повторила.",TTI,,,,,termesə-qlaweɬ ɣe-tumɣə-me ɣa-n-sarejpa-u-ɬina-t məsəkwə-t,друг,
16,TTI_20230703@TK_17,ɣəət na-ra-ɬpənrə-ɣət ənne-e ʔorawetɬʔa-ta ɣ-ʔanə-ma,ты low.a-fut-давать-2sg.o рыба-ins человек-ins com-крючок-sim,Тебе передаст рыбу человек с удочкой.,00:54:13.815,00:54:30.680,#небином,TTI,,True,,,ɣəət na-ra-ɬpənrə-ɣət ənne-e ʔorawetɬʔa-ta ɣ-ʔanə-ma,крючок,рыба
17,TTI_20230703@TK_18,ɣ-ʔanə-ma ʔorawetɬʔa-ta na-ra-ɬpənrə-ɣət ənneen,com-крючок-sim человек-ins low.a-fut-давать-2sg.o рыба,Тебе передаст рыбу человек с удочкой.,00:55:12.910,00:55:23.170,,TTI,,,,,ɣ-ʔanə-ma ʔorawetɬʔa-ta na-ra-ɬpənrə-ɣət ənneen,крючок,человек
18,TTI_20230703@TK_19,ʔorawetɬʔa-ta ɣ-ʔanə-ma na-ra-ɬpənrə-ɣət ənn-e,человек-ins com-крючок-sim low.a-fut-давать-2sg.o рыба,Тебе передаст рыбу человек с удочкой.,00:55:55.325,00:56:00.675,"#небином Бином разрешила, но не повторила.",TTI,,True,,,ʔorawetɬʔa-ta ɣ-ʔanə-ma na-ra-ɬpənrə-ɣət ənn-e,крючок,человек
19,TTI_20230703@TK_20,ne-re-jəɬ-ɣət,low.a-fut-давать-2sg.o,Передаст,00:56:18.850,00:56:21.390,,TTI,,,,,ne-re-jəɬ-ɣət,,
20,TTI_20230703@TK_21,ɬəjwə-tku-ʔorawetɬʔa-n,идти-iter-человек-nom.sg,Путешественник,00:57:40.340,00:57:43.090,Гармония поломалась,TTI,,,,,ɬəjwə-tku-ʔorawetɬʔa-n,,
21,TTI_20230703@TK_22,sajok ɣ-om-aw-ɬen ɬəjwə-tku-ʔorawetɬʔa-n,чай-eat-loc pf-согреться-cs-pf.3sg идти-iter-человек-nom.sg,"Выпив чай, путешественник согрелся",00:58:19.022,00:58:27.720,,TTI,,,,,sajok ɣ-om-aw-ɬen ɬəjwə-tku-ʔorawetɬʔa-n,,
22,TTI_20230703@TK_23,taqʔat ɣa-saj-ma ɣa-n-om-aw-ɬen ʔorawetɬʔa-n,запас.в.дорогу com-чай-sim pf-tr-согреваться-cs-pf.3sg человек-nom.sg,Перекус с чаем согрели путника.,00:59:21.082,00:59:35.480,Я слышу tʔaqat. #бином,TTI,True,,,,taqʔat ɣa-saj-ma ɣa-n-om-aw-ɬen ʔorawetɬʔa-n,чай,
23,TTI_20230703@TK_24,ətlʔa ɣe-ŋe-ekke-te ne-tejək-ɣʔe-n ʔinnə-kemɬiɬ,мать com-fem-сын-ins low.a-делать-th-3sg.o шея-круг,Мама с дочкой связали шарф.,01:04:07.094,01:04:13.634,#бином,TTI,True,,,,ətlʔa ɣe-ŋe-ekke-te ne-tejək-ɣʔe-n ʔinnə-kemɬiɬ,fem-сын,
24,TTI_20230703@TK_25,mikə-ne ∅-tejkə-ni-n? ətlʔa ɣe-ŋe-ekke-te ɣe-tejəkə-ɬin ʔinnə-kemɬiɬ,кто-an.ins 2/3.s/a-делать-3sg.a.3.o-3sg.o мать com-fem-сын-ins pg-делать-pf.3sg шея-круг,Кто связал? Мама с дочкой связали шарф.,01:05:00.572,01:05:21.920,#бином,TTI,True,,,,mikə-ne ∅-tejkə-ni-n? ətlʔa ɣe-ŋe-ekke-te ɣe-tejəkə-ɬin ʔinnə-kemɬiɬ,fem-сын,кто
25,TVI_20230713@TK_1,ɣa-nanana-ma tə-jet-ɣʔe-k omwaamw-etə,com-ребёнок-sim 1sg.s/a-приходить-th-1sg.s амгуэма-dat,С ребёнком/детьми приехала в Амгуэму.,00:00:55.880,00:01:00.940,,TVI,,,,,ɣa-nanana-ma tə-jet-ɣʔe-k omwaamw-etə,ребёнок,
26,TVI_20230713@TK_2,ʔəttʔə-qaj tə-jəɬ-ɣʔe-n ətɬəɣ-etə ənkʔam ətlʔa-ɣtə,собака-dim 1sg.s/a-давать-th-3sg.o отец-dat и мать-dat,Отдала собаку папе и маме.,00:05:48.950,00:05:55.320,"ɣ-ətlʔa-ta здесь не подходит, но можно рассказать сказку папе с мамой (ətɬəɣ-etə ɣ-ətlʔa-ta)",TVI,,,,,ənkʔam,,
27,TVI_20230713@TK_3,ɣəm-nan tə-twə-ɣʔa-n ɬəmŋəɬ ətɬəɣ-etə ɣ-ətlʔa-ta,я-ins 1sg.s/a-рассказывать-th-3sg.o сказка отец-dat com-мать-ins,Я рассказала сказку папе с мамой.,00:06:55.870,00:07:04.445,(папе и маме даже с таким порядком),TVI,,,,,ɣəm-nan tə-twə-ɣʔa-n ɬəmŋəɬ ətɬəɣ-etə ɣ-ətlʔa-ta,мать,я
28,TVI_20230713@TK_4,ɣəm-nan tə-peɬa-ɣʔa-n ʔəttʔə-qaj ətɬəɣə-k ɣ-ətlʔa-ta,я-ins 1sg.s/a-оставлять-th-3sg.o собака-dim отец-loc com-мать-ins,Я оставила собаку у папы с мамой.,00:07:37.620,00:07:48.366,,TVI,,,,,ɣəm-nan tə-peɬa-ɣʔa-n ʔəttʔə-qaj ətɬəɣə-k ɣ-ətlʔa-ta,мать,я
29,TVI_20230713@TK_5,mren-e ne-nu-ɣəm,комар-ins low.a-кусать-1sg.o,Комары меня покусали.,00:08:32.922,00:08:36.532,"Не знает, как будут мошки.",TVI,,,,,mren-e ne-nu-ɣəm,,комар
